Address                  HWtype  HWaddress           Flags Mask            Iface
10.25.5.202              ether   00:0c:29:2d:86:34   C                     eth0
10.25.5.192              ether   00:0c:29:54:fe:67   C                     eth0
10.25.5.211              ether   00:0c:29:77:5d:be   C                     eth0
10.25.5.178              ether   f0:1f:af:33:01:3d   C                     eth0
10.25.5.185              ether   00:0c:29:7c:cb:ac   C                     eth0
10.25.5.254              ether   64:12:25:c9:1f:c5   C                     eth0
10.25.5.195              ether   00:0c:29:a7:a9:b8   C                     eth0
10.25.5.201              ether   00:0c:29:59:e4:b6   C                     eth0
10.25.5.212              ether   00:0c:29:1f:34:87   C                     eth0
10.25.5.197              ether   00:0c:29:49:62:14   C                     eth0
10.25.5.159              ether   2c:fd:a1:93:33:49   C                     eth0
10.25.5.200              ether   00:0c:29:3b:19:a7   C                     eth0
10.25.5.206              ether   00:0c:29:0d:58:f0   C                     eth0
10.25.5.196              ether   00:0c:29:6e:ac:22   C                     eth0
10.25.5.161              ether   38:c9:86:43:30:7e   C                     eth0
10.25.5.182              ether   00:0c:29:05:ae:e3   C                     eth0
10.25.5.199              ether   00:0c:29:cd:ff:80   C                     eth0
